Attack_ID,Attack_Type,Department_Targeted,Severity_Level,Hour_of_Attack,Devices_Infected,Data_Stolen_MB,Response_Time_Min,Month
82,Worm,Operations,Critical,2,142,0,105,March
83,Spyware,Finance,Critical,1,6,2780,128,March
84,Spamware,Finance,High,3,33,0,57,March
85,Virus,Finance,Medium,10,10,0,26,March
86,Trojan,IT,Critical,2,101,912,122,March
87,Worm,Finance,Critical,3,192,0,131,March
88,Spyware,HR,Critical,2,7,1560,111,March
89,Spamware,Finance,Critical,1,44,0,71,March
90,Virus,Operations,Low,14,3,0,13,March
91,Trojan,Finance,Critical,4,108,988,125,March
92,Worm,IT,Critical,2,158,0,108,March
93,Spyware,Finance,Critical,3,9,3100,134,March
94,Spamware,Finance,Critical,2,48,0,75,March
95,Virus,HR,Medium,12,6,0,20,March
96,Trojan,Finance,Critical,1,115,1045,129,March
97,Worm,Operations,Critical,3,171,0,117,March
98,Spyware,IT,Critical,2,11,1890,118,March
99,Spamware,Finance,Critical,4,52,0,79,March
100,Virus,Finance,High,9,12,0,28,March
101,Trojan,HR,Critical,2,31,267,53,March
102,Worm,Finance,Critical,1,204,0,138,March
103,Spyware,Finance,Critical,3,8,2450,126,March
104,Spamware,Finance,Critical,2,55,0,82,March
105,Virus,IT,Low,15,2,0,10,March
106,Trojan,Finance,Critical,4,122,1112,133,March
107,Worm,Operations,Critical,2,185,0,124,March
108,Spyware,HR,Critical,1,10,1780,120,March
109,Spamware,Finance,Critical,3,59,0,86,March
110,Virus,Operations,Medium,11,5,0,17,March
111,Trojan,Finance,Critical,2,131,1198,137,March
112,Worm,IT,Critical,3,197,0,132,March
113,Spyware,Finance,Critical,1,12,3450,141,March
114,Spamware,Finance,Critical,4,63,0,89,March
115,Virus,HR,Low,14,2,0,11,March
116,Trojan,Finance,Critical,2,138,1289,139,March
117,Worm,Finance,Critical,3,211,0,143,March
118,Spyware,Operations,Critical,1,14,2100,136,March
119,Spamware,Finance,Critical,2,67,0,92,March
120,Virus,IT,Medium,10,7,0,24,March
